fire_record,IMD_score,population,White,mixed/multiple_ethnic_groups,Asian/Asian_British,Black/African/Caribbean/Black British,other_ethnic_group,Household_spaces_with_no_usual_residents,Household_Median_Annual_Household_Income_estimate_2012
0,28.33,31.1,71.31,2.52,8.46,16.81,0.9,1.8,32731.69
0,28.17,65.88,67.65,4.3,8.92,17.97,1.16,1.95,31640.54
1,25.69,48.33,60.62,4.21,18.39,16.01,0.77,2.25,33612.88
0,17.74,74.04,55.44,3.81,22.25,16.38,2.12,4.57,44667.06
0,28.9,67.4,61.05,3.82,16.75,16.8,1.58,2.4,29434.09
0,24.74,71.96,49.87,4.97,25.71,17.69,1.76,1.34,34637.97
0,25.27,117.22,49.32,4.35,26.27,17.09,2.98,3.06,35963.18
0,23.29,83.72,58.85,3.78,13.83,22.87,0.67,4.29,33054.18
0,6.23,53.69,70.01,2.16,19.34,3.3,5.19,1.02,45901.98
0,7.79,73.78,74.16,5.47,14.03,2.85,3.49,1.42,34694.55
0,9.64,55.56,79,4.01,10.45,2.53,4.01,1.8,32774.18
0,9.81,70.93,71.95,6.97,13.43,4.75,2.89,1.39,33345.7
0,11.59,43.61,63.39,4.94,21.67,3.27,6.73,2.72,40224.85
0,5.9,61.36,66.62,4.65,20.21,2.99,5.52,0.98,42336.22
0,36.2,39.64,64.73,7.41,14.96,8.88,4.01,0.79,24342.56
0,10.15,64.25,63.9,4.62,22.3,5.37,3.81,1.69,39001.11
0,11.05,32.73,68.51,5.89,17.79,4.57,3.25,2.28,31423.72
1,23.59,66.15,58.79,5.61,19.31,11.72,4.57,5.44,26051.38
0,26.7,96.59,39.47,6.01,29.94,18.06,6.51,2.4,22610.4
1,33.63,138.79,38.71,6.52,21.55,26.78,6.43,0.14,21931.27
0,27.54,76.92,50.03,5.38,22.66,17.74,4.19,1.72,22342.5
0,27.06,76.38,48.96,5.3,25.68,16.16,3.91,2.35,24120.64
0,31,108.56,46.97,6.23,29.01,13.13,4.66,3.41,21456.5
0,30.86,100.58,48.72,5.68,21.77,20.46,3.37,0.7,24921.58
0,20.9,54.98,45.68,4.04,34.55,10.19,5.54,1.55,27687.64
0,25.53,97.59,51.83,6.56,21.92,15.02,4.67,2.17,23810.29
0,30.77,103.08,53.09,4.25,22.92,16.36,3.37,2.42,22917.17
0,24.67,103.89,49.69,4.84,23.71,18.26,3.49,1.26,24367.81
0,12.52,51.25,63.36,4.92,19.69,3.96,8.06,12.32,45112.17
0,8.96,30.72,74.87,5.35,11.75,2.09,5.94,6.63,69536.56
0,28.79,143.32,56.16,7.29,13.65,15.15,7.75,4.15,25175.18
0,27.86,57.9,58.25,4.28,18.01,6.83,12.63,2.24,29749.38
0,12.39,42.31,66.83,4.83,13.65,5.46,9.24,3.61,39427.26
1,16.82,110.81,65.3,4.6,16.19,6.5,7.42,5.53,31060.06
0,28.8,59.08,53.52,5.66,17.78,14.21,8.84,1.82,25482.98
0,16.67,120.46,56.07,5.92,16.72,12.01,9.28,3.16,29463.73
0,31.34,87.97,55.59,5.55,15.49,14.12,9.25,1.1,23181.36
0,18.34,85.21,59.82,4.23,25.23,3.19,7.54,5.16,42189.04
0,14.63,76.87,68.29,2.7,16.68,4.35,7.98,5.13,41150.3
0,18.54,82.96,60.66,6.59,19.64,4.84,8.28,4,33820.77
1,12.79,90.81,37.37,4.33,49.19,5.25,3.86,2.33,29851.66
0,27.67,88.12,39.56,5.18,32.19,16.87,6.19,2.29,22940.19
0,15.58,46.09,41.55,5.44,37.18,11.75,4.08,2.23,28097.25
0,38.9,124.61,31.44,9.12,15.6,35.77,8.07,1.12,19595.77
0,32.42,93.29,36.73,9.02,13.82,32.45,7.98,2.42,20761.97
0,41.65,113.45,46.07,7.92,17.07,25.44,3.5,0.64,21518.6
0,32.67,84.58,40.44,5.81,20.07,27.57,6.1,1.18,20335.92
0,20.8,84.34,44.84,4.47,33.83,13.46,3.4,3.39,25855.75
1,8.32,110.72,75.63,5.92,8.05,5.87,4.53,3.22,37543.17
0,12.66,126.85,75.21,7.01,7.79,6.36,3.63,1.71,30516.73
0,19.72,56.21,65.03,5.03,17.01,9.59,3.33,2.76,31182.94
0,16.26,36.46,72.37,4.45,13.84,6.42,2.93,1.68,32814.13
0,12.12,72.56,61.67,5.48,20.57,8.05,4.22,5.62,41348.61
0,14.51,80.87,61.72,5.93,18.18,9.99,4.17,2.74,31187.65
0,18.5,88.48,62.16,6,21.14,7.63,3.06,1.43,30590.06
0,28.54,86.94,63.16,7.7,11.68,13.67,3.79,1.68,25001.32
0,25.33,32.85,61.45,8.36,13.35,11.21,5.63,2.85,26648.59
0,13.26,100.7,53.17,7.25,26.32,6.66,6.61,1.26,34274.37
0,14.86,43.85,74.02,4.74,12.07,6.07,3.1,1.82,32548.91
0,28.35,22.13,77.96,4.82,7.8,6.5,2.91,2.43,26762.73
0,6.98,50.56,75.32,3.58,15.47,2.05,3.58,1.37,46664.33
0,13.23,64.86,83.49,4.03,7.05,3.76,1.68,2.76,34932.74
0,20.38,56.46,75.55,6.66,9.54,6.72,1.53,1.8,29807.49
0,24.26,59.4,71.93,5.84,10.11,8.71,3.41,1.72,28167.91
0,8.42,31.83,81.57,3.16,9.54,3.28,2.44,0.82,38973.2
0,9.71,47.28,77.84,4.83,10.7,3.66,2.97,0.96,37492.85
1,16.27,94.91,71.7,6.48,11.46,6.89,3.47,1.42,28996.77
0,7.61,31.97,78.42,5.24,11.36,2.97,2.02,1.12,40354.41
0,30.55,75.47,63.17,8.06,16.18,10.04,2.54,1.69,25845.11
0,8.26,102.02,79.18,4.48,9.52,4.42,2.4,2.27,42279.06
0,8.06,43.43,78.84,4.97,9.21,4.24,2.74,1.84,40476.51
0,8.47,113,76.58,5.45,11.15,4.83,1.98,2.55,40375.69
0,14.56,96.9,70.5,5.16,14.81,5.66,3.86,3.37,31846.01
0,8.2,125.44,81.12,5.61,8.07,1.81,3.39,2.19,47969.35
0,8.01,83.4,81.08,5.26,8.63,1.83,3.19,3.49,45688.43
0,10.61,64.27,76.65,5.16,10.05,2.51,5.63,3.79,47202.49
0,31.92,23,56.93,5.87,13.3,20.44,3.47,1.18,24820.71
1,25.82,119.66,48.79,6.01,18.45,20.46,6.29,0.98,22297.2
0,5.2,66.14,70.29,1.3,23.51,2.05,2.85,0.99,48236.53
0,13.02,78.54,69.34,2.9,17.08,6.64,4.04,1.66,32777.14
1,8.03,4.88,68.79,2.57,24,2.25,2.38,1.34,50134.7
0,24.53,107.34,41.12,9.04,20.07,24.53,5.24,4.05,20749.34
0,10.15,64.3,69.47,3.36,17.54,5.76,3.86,1.62,43173.12
0,6.83,58.59,64.98,2.3,25.31,3.74,3.67,2.57,46620.4
0,15.47,68.45,62,2.7,22.49,6.05,6.76,5.4,34043.74
0,16.12,60.82,61.5,2.52,24.28,7.08,4.62,3.88,36320.08
0,19.39,52.26,49.57,4.88,29.15,10.37,6.04,3.79,28913.44
0,27,59.74,54.25,5.54,15.66,19.74,4.81,3.33,23679.82
0,12.28,78.76,64.26,4.83,20.64,4.94,5.33,5.19,32633.78
0,12.52,70.69,63.83,5.41,22.3,4.81,3.66,2.62,36213.79
0,11.84,60.98,66.93,3.59,15.43,6.13,7.92,2.28,42405.97
0,7.22,48.98,72.48,2.97,14.35,3.34,6.86,3.17,49410.91
0,9.57,69.78,69.59,2.6,15.72,4.44,7.64,4.11,42876.06
0,7.18,38.57,66.43,3.59,18.48,4.31,7.18,4.79,57869.38
0,6.74,78.85,71.67,5.43,14.51,3.6,4.8,3.71,49035.42
0,15.52,57.71,56.29,5.76,22.06,8.96,6.93,3.01,31417.24
1,10.06,54.28,70.49,3.82,16.61,3.3,5.79,1.15,44373.52
0,7.73,41.25,77.92,4.8,8.08,3.61,5.58,2.52,54969.23
0,9.12,11.71,75.82,2.73,13.45,2.6,5.39,14.33,82996.69
1,6.59,44.43,82.56,3.6,8.59,1.83,3.41,4.4,61611.43
0,6.61,37.5,77.54,2.63,11.36,1.94,6.52,6.35,55230.89
0,7.06,38.77,89.38,3.33,3.9,0.9,2.5,3.11,54862.81
0,8.2,30.91,78.75,2.97,10.27,2.71,5.3,2.76,54100.34
0,14.57,77.13,66.83,5.76,15,6.45,5.96,3.91,31034.95
0,10.29,41.29,81.23,3.22,10.36,2.45,2.73,3.29,57385.58
0,7.58,32.09,87.2,2.29,5.01,1.39,4.1,2.31,76531.36
0,10.5,51.52,72.94,3.79,15.94,1.98,5.35,6.03,51209.75
0,13.57,97.67,73.68,2.21,12.2,4.23,7.67,5.69,39633.77
0,10.02,103.44,69.66,4.17,16.57,1.88,7.72,4.2,44990.99
0,10.83,84.11,80.41,2.03,8.23,3.88,5.45,3.16,45748.48
0,15.33,125.12,72.61,3.41,10.51,4.24,9.24,3.7,39956.25
0,19.87,101.31,68.56,2.47,17.59,2.99,8.4,3.01,32766.59
0,17.11,132.29,73.22,3.31,12.88,2.73,7.86,3.42,32570.43
0,45.84,31.44,44.36,6.96,19.71,21.95,7.03,1.62,21702.03
0,27.1,41.68,47.79,5.44,20.92,12.33,13.53,3.25,25796.14
0,35.81,25.2,53.77,6.45,17.17,14.69,7.93,2.85,24199.3
1,19.68,102.62,45.48,6.22,22.32,12.64,13.34,3.68,29083.78
0,10.98,58.31,78.77,2.25,8,1.97,9.01,2.04,46583.88
1,31.66,104.45,51.08,6.48,22.3,16.21,3.92,0.47,22170.65
0,9.97,74.78,60.95,3.94,24.49,7.39,3.24,2.43,37738.16
0,12.49,5.32,63,3.38,22.89,6.01,4.73,3.26,42293.57
0,21.61,61.29,58.85,5.22,16.32,16.02,3.6,1.64,28296.26
0,7.89,69.45,68.07,2.41,22.07,4.59,2.86,2.69,37423.31
0,17.63,52.05,47.92,4.81,27.1,15.41,4.76,1.65,31130.59
0,14.53,64.04,58.79,3.81,25.37,9.09,2.94,1.81,36919.24
0,8.85,69.17,60.26,4.73,22.18,9.25,3.58,3.2,37946.55
0,8.66,63.59,67.9,4.41,15.4,8.64,3.64,3.27,38952.6
0,23.35,50.29,57.82,5.98,16.41,14.93,4.86,2.18,27014.56
0,10.57,84.26,79.62,3.06,6.99,2.04,8.28,3.85,38790.48
0,9.55,66.44,69.92,3.19,14.52,3.68,8.68,5.61,37356.25
0,14.46,95.08,66.43,3.92,14.26,5.04,10.34,3.61,32840.24
0,21.57,47.92,49.49,5.43,24.77,12.69,7.61,4.15,29198.29
0,19.6,39.66,49.58,6.77,26.41,11.02,6.23,3.64,31014.71
0,10.71,52.99,68.35,3.5,15.65,4.7,7.8,2.52,38631.84
0,19.15,61.07,70.17,3.02,12.44,8.51,5.86,4.17,39440.65
1,14.09,104.14,68.58,3.56,19.9,3.61,4.35,3.77,29882.25
0,15.65,81.22,56.3,3.99,25.69,7.92,6.1,5.83,30988.95
0,24.12,116.51,57.47,6.61,16.6,11.6,7.72,2.99,24116.76
1,10.62,14.17,82.37,3.93,8.12,3.39,2.2,2.82,41861.88
0,10.14,64.04,81.37,4.38,7.75,3.37,3.13,2.48,38140.46
0,7.3,62.81,88.32,3.55,5.66,1.63,0.84,3.34,43284.68
0,5.86,18.97,85.7,2.95,9.11,1.57,0.66,3.54,49795.71
0,13.03,43.78,80.11,3.67,9.36,3.45,3.41,4.67,35889.05
0,18.85,88.79,74.49,5.69,10.35,5.25,4.23,3.37,30535.47
0,13.38,70.29,78.06,4.1,10.44,4.97,2.42,2.59,33983.8
0,9.45,5.11,78.65,3.43,12.54,2.9,2.48,5.09,56058.14
0,7.76,10.29,88.57,4.39,5.29,1.23,0.52,6.47,49020.01
0,18.73,13.79,63.54,5,17.76,10.06,3.65,2.23,31376.6
0,10.63,32.64,66.78,3.8,17.51,8.89,3.02,2.81,42869.85
0,25,27.72,52.13,7.06,21.83,12.61,6.36,2.56,24625.53
0,9.16,21.81,74.91,4.04,13.51,5.01,2.53,3.73,42438.43
0,13.36,20.88,57.91,6.05,25.88,5.78,4.39,2.39,35636.59
0,19.85,25.48,56.05,5.75,20.99,11.91,5.3,2.06,31724.63
0,7.63,13.36,80.14,3.44,10.68,4,1.75,4.86,46915.16
1,11.64,10.39,57.21,7.26,18.19,11.42,5.93,4.81,32924.38
0,5.87,40.23,78.3,2.85,13.73,2.34,2.78,3.48,61361.01
0,16.48,45.69,61.17,5.89,19.11,9.34,4.49,6.07,31899.5
0,15.1,94.92,68.45,5.45,14.06,8.82,3.22,1.37,28616.36
1,8.02,23.38,78.19,2.69,12.97,2.75,3.41,2.11,50590.95
0,12.75,55.17,76.25,3.95,14.8,2.7,2.3,1.05,41247.55
0,15.26,73.98,69.81,6.04,10.98,9.32,3.85,1.19,31694.83
0,10.43,53.13,76.98,3.51,15.44,2.67,1.4,1.47,39598.26
0,11.98,59.44,77.33,4.59,11.94,3.78,2.36,1.57,42771.98
0,6.65,45.15,76.79,3.47,13.48,3.13,3.13,3.32,44146.94
0,4.84,28.46,79.48,3.58,12.46,1.42,3.06,1.89,57919.41
0,14.15,46.46,67.63,4.74,18.55,6.18,2.89,2.26,35000.99
