Index_of_Multiple_Deprivation_Score,Age_65,Children_15,Road_density,Street_network_density,Household_spaces_with_at_least_one_usual_resident,Traffic_light_density,Distance,FirstPumpArriving_AttendanceTime,Winter,Commute,Weekend,Fire_Station_number
15.555,216,350,5.308962491,28.21063944,532,1.343363783,2916.284317,432.0325203,20.3252033,28.4552846,34.1463415,6
24.308,132,351,14.58066431,86.10086101,533,0,1324.534211,288.352459,17.2131148,24.5901639,27.0491803,6
18.91,140,276,16.08111229,92.04470743,610,0,1650.507576,323.5271318,21.7054264,25.5813953,26.3565891,6
19.417,193,325,15.2518168,182.9268293,517,8.130081301,2666.118522,410.5882353,20.5882353,25.4901961,30.3921569,4
42.123,232,596,22.66915734,223.6652237,813,50.50505051,1269.481858,301.539267,16.7539267,27.7486911,27.2251309,7
19.424,175,371,12.91631468,78.125,651,0,1455.314577,275.0793651,20.6349206,26.1904762,28.5714286,8
21.407,219,280,19.49139983,219.2758797,500,0,2522.843068,399.3246753,11.6883117,14.2857143,24.6753247,4
43.404,169,476,25.33293985,299.8846597,793,23.06805075,1666.313655,339.9470199,21.8543046,23.1788079,29.1390728,10
32.007,85,303,18.06462935,204.2900919,800,10.2145046,1783.226194,323.671875,22.65625,17.96875,28.90625,7
14.793,236,274,12.51761477,67.01771182,475,0,2221.950243,381.8659794,19.5876289,29.8969072,26.8041237,5
32.606,136,674,14.80820669,184.9176539,793,0,2045.636096,391.7067669,20.3007519,21.8045113,33.0827068,5
21.525,119,395,23.0301012,207.4966533,1093,26.77376171,1793.269626,306.9690722,22.6804124,28.8659794,23.7113402,8
20.6,247,379,15.89716094,164.3410853,650,0,2129.640268,355.2325581,19.7674419,24.4186047,25.5813953,4
46.524,174,478,16.13042695,152.7924131,640,0,1320.398224,326.5993884,27.5229358,25.6880734,26.6055046,7
22.985,173,312,15.45748308,117.2332943,521,0,1127.63659,279.6382979,18.0851064,26.5957447,29.787234,5
21.621,181,286,16.3185985,158.172232,586,0,1962.241304,388.6419753,20.3703704,20.9876543,24.691358,4
39.15,164,457,21.31752775,226.5518804,653,0,2648.794071,406.38,24,29,31,6
18.16,205,270,12.50084652,126.7010793,518,46.92632567,872.1505677,264.3863636,21.5909091,22.7272727,28.4090909,6
24.997,175,376,16.2559611,129.8701299,728,0,856.2859815,239.5035971,22.3021583,21.5827338,33.8129496,6
6.271,342,299,9.308313668,64.06926407,659,0,2228.938375,363.2972973,22.972973,18.9189189,32.4324324,3
